id,email,password,first_name,last_name,affiliation,role,is_activated,newsletter,previous_newsletter_state,facebook_id,twitter_id,linkedin_id,google_id,username,orcid_id,preferred_link,terms
1,test+gigadb1@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb1,BGI,"",f,t,t,,,,,test+gigadb1@gigasciencejournal.com,,EBI,true
2,exampleuser@madeup.com,5a4f75053077a32e681f81daa8792f95,example,user,BGI,"",t,t,t,,,,,exampleuser@madeup.com,,EBI,true
3,test+gigadb3@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb3,BGI,"",f,t,t,,,,,test+gigadb3@gigasciencejournal.com,,EBI,true
4,test+gigadb4@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb4,BGI,"",f,t,t,,,,,test+gigadb4@gigasciencejournal.com,,EBI,true
5,test+gigadb5@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb5,University of Puerto Rico,"",f,t,t,,,,,test+gigadb5@gigasciencejournal.com,,EBI,true
6,test+gigadb6@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb6,BGI,"",f,t,t,,,,,test+gigadb6@gigasciencejournal.com,,EBI,true
7,test+gigadb7@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb7,BGI,"",f,t,t,,,,,test+gigadb7@gigasciencejournal.com,,EBI,true
8,test+gigadb8@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb8,BGI,"",f,t,t,,,,,test+gigadb8@gigasciencejournal.com,,EBI,true
9,test+gigadb9@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb9,BGI,"",f,t,t,,,,,test+gigadb9@gigasciencejournal.com,,EBI,true
10,test+gigadb10@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb10,BGI,"",f,t,t,,,,,test+gigadb10@gigasciencejournal.com,,EBI,true
11,test+gigadb11@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb11,BGI,"",f,t,t,,,,,test+gigadb11@gigasciencejournal.com,,EBI,true
12,test+gigadb12@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb12,CAAS,"",f,t,t,,,,,test+gigadb12@gigasciencejournal.com,,EBI,true
13,test+gigadb13@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb13,BGI,"",f,t,t,,,,,test+gigadb13@gigasciencejournal.com,,EBI,true
14,test+gigadb14@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb14,BGI,"",f,t,t,,,,,test+gigadb14@gigasciencejournal.com,,EBI,true
15,test+gigadb15@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb15,UCL Cancer Institute,"",f,t,t,,,,,test+gigadb15@gigasciencejournal.com,,EBI,true
16,test+gigadb16@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb16,BGI,"",f,t,t,,,,,test+gigadb16@gigasciencejournal.com,,EBI,true
17,test+gigadb17@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb17,BGI,"",f,t,t,,,,,test+gigadb17@gigasciencejournal.com,,EBI,true
18,test+gigadb18@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb18,BGI,"",f,t,t,,,,,test+gigadb18@gigasciencejournal.com,,EBI,true
